,v,vw,o,c,h,l,t,n
0,19014.0,1.3311,1.33447,1.32942,1.33616,1.32745,2011-01-02 08:00:00,19014
1,136926.0,1.3333,1.32942,1.33501,1.33941,1.32492,2011-01-03 08:00:00,136926
2,206103.0,1.3346,1.33501,1.32697,1.34329,1.32621,2011-01-04 08:00:00,206103
3,223793.0,1.3198,1.32696,1.31388,1.32891,1.31243,2011-01-05 08:00:00,223793
4,216165.0,1.3068,1.31388,1.29861,1.31583,1.29669,2011-01-06 08:00:00,216165
5,151438.0,1.2968,1.29861,1.29099,1.30178,1.29044,2011-01-07 08:00:00,151438
6,23268.0,1.2906,1.28755,1.29045,1.29289,1.28734,2011-01-09 08:00:00,23268
7,191883.0,1.2923,1.29045,1.2943,1.29892,1.28723,2011-01-10 08:00:00,191883
8,199778.0,1.2954,1.29429,1.29892,1.30154,1.29032,2011-01-11 08:00:00,199778
9,234475.0,1.3043,1.29894,1.31032,1.31438,1.29604,2011-01-12 08:00:00,234475
10,235483.0,1.3249,1.31034,1.3346,1.33822,1.30877,2011-01-13 08:00:00,235483
11,186300.0,1.3367,1.33464,1.33727,1.34559,1.33133,2011-01-14 08:00:00,186300
12,16682.0,1.3349,1.33825,1.33356,1.33836,1.33319,2011-01-16 08:00:00,16682
13,151860.0,1.329,1.33356,1.33139,1.33411,1.32434,2011-01-17 08:00:00,151860
14,214501.0,1.3394,1.3314,1.34459,1.34651,1.33021,2011-01-18 08:00:00,214501
15,214682.0,1.3474,1.34459,1.34544,1.35373,1.34259,2011-01-19 08:00:00,214682
16,207749.0,1.3464,1.34545,1.34954,1.35222,1.3395,2011-01-20 08:00:00,207749
17,159417.0,1.3545,1.34957,1.36138,1.36238,1.34639,2011-01-21 08:00:00,159417
18,28064.0,1.3603,1.36405,1.35925,1.36405,1.35846,2011-01-23 08:00:00,28064
19,170850.0,1.3617,1.35926,1.36583,1.36845,1.35391,2011-01-24 08:00:00,170850
20,227267.0,1.3639,1.36583,1.36907,1.3703,1.35713,2011-01-25 08:00:00,227267
21,198635.0,1.3687,1.36909,1.37022,1.37204,1.36399,2011-01-26 08:00:00,198635
22,211495.0,1.3711,1.37021,1.3703,1.37571,1.36379,2011-01-27 08:00:00,211495
23,182411.0,1.3675,1.3703,1.36074,1.37453,1.35821,2011-01-28 08:00:00,182411
24,31847.0,1.359,1.35866,1.36029,1.36135,1.35692,2011-01-30 08:00:00,31847
25,201368.0,1.3678,1.36027,1.3727,1.37385,1.35969,2011-01-31 08:00:00,201368
26,216987.0,1.3772,1.3727,1.38509,1.38607,1.36995,2011-02-01 08:00:00,216987
27,191655.0,1.3809,1.38511,1.37942,1.38545,1.37661,2011-02-02 08:00:00,191655
28,200468.0,1.3701,1.37947,1.36294,1.38245,1.36081,2011-02-03 08:00:00,200468
29,144683.0,1.3597,1.36297,1.35796,1.3678,1.35423,2011-02-04 08:00:00,144683
30,26200.0,1.3599,1.35618,1.36088,1.36226,1.35618,2011-02-06 08:00:00,26200
31,214532.0,1.357,1.36088,1.36144,1.36259,1.3507,2011-02-07 08:00:00,214532
32,243653.0,1.3639,1.36143,1.36398,1.36875,1.35915,2011-02-08 08:00:00,243653
33,213870.0,1.3676,1.36399,1.37013,1.37431,1.361,2011-02-09 08:00:00,213870
34,213850.0,1.362,1.37013,1.35796,1.37013,1.35601,2011-02-10 08:00:00,213850
35,147033.0,1.3536,1.35796,1.35463,1.35796,1.34961,2011-02-11 08:00:00,147033
36,25337.0,1.3525,1.35057,1.35316,1.35496,1.35003,2011-02-13 08:00:00,25337
37,180217.0,1.3482,1.3532,1.35073,1.35571,1.34271,2011-02-14 08:00:00,180217
38,197687.0,1.3511,1.35072,1.35286,1.35499,1.346,2011-02-15 08:00:00,197687
39,217318.0,1.3536,1.35287,1.3579,1.36087,1.3461,2011-02-16 08:00:00,217318
40,189195.0,1.3581,1.35791,1.36041,1.36263,1.35354,2011-02-17 08:00:00,189195
41,149021.0,1.3614,1.3604,1.36846,1.37141,1.35439,2011-02-18 08:00:00,149021
42,19979.0,1.3689,1.36989,1.36744,1.37148,1.3669,2011-02-20 08:00:00,19979
43,145939.0,1.3654,1.36744,1.35907,1.37081,1.35622,2011-02-21 08:00:00,145939
44,227749.0,1.364,1.35907,1.36933,1.37111,1.3524,2011-02-22 08:00:00,227749
45,194714.0,1.3737,1.36937,1.37745,1.37853,1.36821,2011-02-23 08:00:00,194714
46,209584.0,1.3781,1.37745,1.38245,1.3837,1.37031,2011-02-24 08:00:00,209584
47,132142.0,1.3779,1.38245,1.37491,1.38342,1.37225,2011-02-25 08:00:00,132142
48,21828.0,1.3735,1.37551,1.37555,1.37612,1.37103,2011-02-27 08:00:00,21828
49,173292.0,1.3812,1.37556,1.38047,1.38543,1.37533,2011-02-28 08:00:00,173292
50,182142.0,1.3809,1.38047,1.37493,1.3853,1.3742,2011-03-01 08:00:00,182142
51,156151.0,1.383,1.37493,1.38551,1.3889,1.3744,2011-03-02 08:00:00,156151
52,161487.0,1.391,1.38552,1.3954,1.39741,1.38315,2011-03-03 08:00:00,161487
53,122531.0,1.3973,1.3954,1.39831,1.40062,1.39394,2011-03-04 08:00:00,122531
54,24946.0,1.3977,1.39911,1.39735,1.3997,1.39611,2011-03-06 08:00:00,24946
55,227680.0,1.3991,1.39736,1.39872,1.4035,1.39545,2011-03-07 08:00:00,227680
56,215725.0,1.3912,1.39872,1.38882,1.39872,1.3861,2011-03-08 08:00:00,215725
57,188837.0,1.3902,1.38881,1.38671,1.39403,1.38543,2011-03-09 08:00:00,188837
58,209240.0,1.382,1.38671,1.38215,1.38774,1.37742,2011-03-10 08:00:00,209240
59,171654.0,1.3815,1.38215,1.3902,1.3903,1.37509,2011-03-11 08:00:00,171654
60,40119.0,1.3935,1.3965,1.39181,1.39761,1.39151,2011-03-13 08:00:00,40119
61,195364.0,1.3957,1.39182,1.39282,1.4002,1.39034,2011-03-14 08:00:00,195364
62,268346.0,1.3931,1.39282,1.39651,1.4012,1.38544,2011-03-15 08:00:00,268346
63,288446.0,1.3927,1.39651,1.39193,1.4,1.38655,2011-03-16 08:00:00,288446
64,240593.0,1.4003,1.39193,1.40749,1.40862,1.39126,2011-03-17 08:00:00,240593
65,172920.0,1.4106,1.40747,1.41709,1.41825,1.40395,2011-03-18 08:00:00,172920
66,20956.0,1.4171,1.41925,1.41688,1.41944,1.41582,2011-03-20 08:00:00,20956
67,159347.0,1.4189,1.4169,1.42203,1.42391,1.41378,2011-03-21 08:00:00,159347
68,166644.0,1.4209,1.42203,1.41769,1.42471,1.41522,2011-03-22 08:00:00,166644
69,201276.0,1.414,1.41769,1.40752,1.42135,1.40696,2011-03-23 08:00:00,201276
70,190251.0,1.4141,1.40752,1.41678,1.4219,1.40522,2011-03-24 08:00:00,190251
71,161977.0,1.4134,1.41679,1.40731,1.41927,1.40539,2011-03-25 08:00:00,161977
72,22445.0,1.4043,1.40387,1.40517,1.40683,1.40197,2011-03-27 08:00:00,22445
73,149977.0,1.4072,1.40517,1.40828,1.41148,1.40251,2011-03-28 08:00:00,149977
74,167246.0,1.4094,1.40829,1.40896,1.41477,1.40459,2011-03-29 08:00:00,167246
75,185790.0,1.4096,1.40896,1.41308,1.41465,1.40509,2011-03-30 08:00:00,185790
76,183119.0,1.4184,1.41306,1.41629,1.42319,1.41279,2011-03-31 08:00:00,183119
77,162514.0,1.4149,1.4163,1.42266,1.42445,1.40603,2011-04-01 08:00:00,162514
78,26383.0,1.4234,1.42269,1.42211,1.42672,1.42154,2011-04-03 08:00:00,26383
79,145509.0,1.4219,1.42211,1.41918,1.425,1.41846,2011-04-04 08:00:00,145509
80,169566.0,1.42,1.41919,1.42571,1.42651,1.41504,2011-04-05 08:00:00,169566
81,169480.0,1.4304,1.42571,1.43091,1.43479,1.42509,2011-04-06 08:00:00,169480
82,218792.0,1.4295,1.4309,1.43904,1.44025,1.42414,2011-04-07 08:00:00,218792
83,141144.0,1.4416,1.43906,1.44839,1.44864,1.43825,2011-04-08 08:00:00,141144
84,28600.0,1.446,1.44699,1.44582,1.44823,1.444,2011-04-10 08:00:00,28600
85,156428.0,1.4437,1.44584,1.43904,1.4469,1.43758,2011-04-11 08:00:00,156428
86,204032.0,1.446,1.43904,1.44721,1.45184,1.43794,2011-04-12 08:00:00,204032
87,186338.0,1.4474,1.44721,1.4461,1.45193,1.44064,2011-04-13 08:00:00,186338
88,195161.0,1.4455,1.44609,1.44685,1.45132,1.43641,2011-04-14 08:00:00,195161
89,153555.0,1.4444,1.44684,1.44222,1.44991,1.43898,2011-04-15 08:00:00,153555
90,29167.0,1.4381,1.44075,1.43817,1.44194,1.43479,2011-04-17 08:00:00,29167
91,224182.0,1.4279,1.43819,1.42277,1.43869,1.41558,2011-04-18 08:00:00,224182
92,207405.0,1.43,1.42275,1.43968,1.44122,1.42039,2011-04-19 08:00:00,207405
93,216424.0,1.4495,1.43968,1.45627,1.45811,1.43814,2011-04-20 08:00:00,216424
94,189421.0,1.4589,1.45627,1.45567,1.46474,1.45301,2011-04-21 08:00:00,189421
95,22688.0,1.4564,1.45575,1.45453,1.45873,1.45324,2011-04-22 08:00:00,22688
96,26974.0,1.4561,1.4558,1.45446,1.46047,1.45239,2011-04-24 08:00:00,26974
97,98986.0,1.4566,1.45447,1.45342,1.46259,1.44921,2011-04-25 08:00:00,98986
98,189523.0,1.4624,1.45342,1.46826,1.47125,1.45062,2011-04-26 08:00:00,189523
99,207854.0,1.4714,1.46825,1.48629,1.48809,1.46296,2011-04-27 08:00:00,207854
100,190835.0,1.4821,1.48629,1.48294,1.48724,1.47715,2011-04-28 08:00:00,190835
101,102915.0,1.4844,1.48294,1.48134,1.48769,1.48074,2011-04-29 08:00:00,102915
102,45851.0,1.4808,1.48138,1.479,1.48628,1.47608,2011-05-01 08:00:00,45851
103,151972.0,1.4833,1.479,1.48007,1.49009,1.47677,2011-05-02 08:00:00,151972
104,212194.0,1.4812,1.48007,1.47968,1.48891,1.47532,2011-05-03 08:00:00,212194
105,255643.0,1.4862,1.47967,1.48631,1.49389,1.47913,2011-05-04 08:00:00,255643
106,325385.0,1.4687,1.48629,1.454,1.48982,1.45089,2011-05-05 08:00:00,325385
107,318737.0,1.4488,1.45403,1.43508,1.45863,1.43143,2011-05-06 08:00:00,318737
108,41207.0,1.4386,1.43715,1.43966,1.44055,1.43394,2011-05-08 08:00:00,41207
109,296927.0,1.4353,1.43967,1.43312,1.4441,1.4253,2011-05-09 08:00:00,296927
110,292570.0,1.4355,1.43312,1.43986,1.4422,1.42689,2011-05-10 08:00:00,292570
111,301595.0,1.4303,1.43986,1.42202,1.44222,1.41712,2011-05-11 08:00:00,301595
112,311917.0,1.4199,1.422,1.41971,1.42759,1.41223,2011-05-12 08:00:00,311917
113,250341.0,1.4227,1.41971,1.40992,1.43383,1.40649,2011-05-13 08:00:00,250341
114,41957.0,1.4077,1.40875,1.40853,1.41063,1.4047,2011-05-15 08:00:00,41957
115,280911.0,1.4157,1.40853,1.41636,1.42435,1.40781,2011-05-16 08:00:00,280911
116,333023.0,1.4187,1.41635,1.4275,1.42858,1.41192,2011-05-17 08:00:00,333023
117,283091.0,1.4251,1.4275,1.42867,1.43049,1.41938,2011-05-18 08:00:00,283091
118,283683.0,1.427,1.42865,1.43103,1.43363,1.42053,2011-05-19 08:00:00,283683
119,249925.0,1.4237,1.43102,1.41539,1.43443,1.41379,2011-05-20 08:00:00,249925
120,51174.0,1.4105,1.41223,1.40829,1.41441,1.40767,2011-05-22 08:00:00,51174
121,301163.0,1.4026,1.40828,1.40562,1.40874,1.39682,2011-05-23 08:00:00,301163
122,292271.0,1.4088,1.40562,1.40568,1.4132,1.40325,2011-05-24 08:00:00,292271
123,309388.0,1.4071,1.40569,1.41421,1.4172,1.40122,2011-05-25 08:00:00,309388
124,301818.0,1.4156,1.41421,1.42608,1.42775,1.4067,2011-05-26 08:00:00,301818
125,240759.0,1.4249,1.42608,1.42816,1.43016,1.41825,2011-05-27 08:00:00,240759
126,24938.0,1.429,1.43191,1.42872,1.43206,1.42763,2011-05-29 08:00:00,24938
127,120938.0,1.4311,1.42872,1.43741,1.44048,1.42556,2011-05-30 08:00:00,120938
128,255984.0,1.4395,1.43741,1.44204,1.4436,1.43595,2011-05-31 08:00:00,255984
129,307333.0,1.4399,1.44204,1.43556,1.44579,1.4306,2011-06-01 08:00:00,307333
130,284844.0,1.4444,1.43555,1.44856,1.45166,1.43481,2011-06-02 08:00:00,284844
131,233652.0,1.453,1.44856,1.46333,1.46414,1.44496,2011-06-03 08:00:00,233652
132,36431.0,1.464,1.46059,1.46357,1.46559,1.46059,2011-06-05 08:00:00,36431
133,259612.0,1.4608,1.46364,1.45984,1.46569,1.4556,2011-06-06 08:00:00,259612
134,257133.0,1.4661,1.45984,1.46529,1.46952,1.45941,2011-06-07 08:00:00,257133
135,276769.0,1.4623,1.46531,1.46175,1.46875,1.45633,2011-06-08 08:00:00,276769
136,262714.0,1.4559,1.46175,1.45126,1.46523,1.44764,2011-06-09 08:00:00,262714
137,244750.0,1.443,1.45128,1.43321,1.45158,1.43211,2011-06-10 08:00:00,244750
138,34147.0,1.4339,1.43211,1.43359,1.43563,1.43194,2011-06-12 08:00:00,34147
139,256997.0,1.4375,1.43362,1.44243,1.44403,1.43242,2011-06-13 08:00:00,256997
140,268640.0,1.4447,1.44243,1.44088,1.44963,1.44033,2011-06-14 08:00:00,268640
141,310569.0,1.427,1.44088,1.41931,1.44284,1.4155,2011-06-15 08:00:00,310569
142,362612.0,1.4141,1.41931,1.41678,1.4221,1.40724,2011-06-16 08:00:00,362612
143,277592.0,1.4244,1.41678,1.43019,1.43382,1.41262,2011-06-17 08:00:00,277592
144,36034.0,1.427,1.42746,1.42526,1.42972,1.42513,2011-06-19 08:00:00,36034
145,240845.0,1.4278,1.42526,1.43303,1.43829,1.419,2011-06-20 08:00:00,240845
146,260943.0,1.4368,1.43304,1.43668,1.44311,1.43138,2011-06-21 08:00:00,260943
147,271955.0,1.438,1.43668,1.43017,1.44407,1.42853,2011-06-22 08:00:00,271955
148,298569.0,1.4218,1.43017,1.42572,1.43132,1.41252,2011-06-23 08:00:00,298569
149,265784.0,1.4213,1.42573,1.41854,1.43054,1.41406,2011-06-24 08:00:00,265784
150,46196.0,1.4135,1.41912,1.4126,1.41966,1.41015,2011-06-26 08:00:00,46196
151,275396.0,1.422,1.41261,1.4293,1.43284,1.41123,2011-06-27 08:00:00,275396
152,274465.0,1.4314,1.4293,1.43493,1.4396,1.42359,2011-06-28 08:00:00,274465
153,303562.0,1.4414,1.43493,1.45064,1.45178,1.43269,2011-06-29 08:00:00,303562
154,237688.0,1.449,1.45064,1.44922,1.4537,1.44468,2011-06-30 08:00:00,237688
155,214028.0,1.4503,1.44921,1.45263,1.45511,1.44352,2011-07-01 08:00:00,214028
156,28981.0,1.4553,1.45318,1.45603,1.45769,1.45297,2011-07-03 08:00:00,28981
157,162827.0,1.452,1.45603,1.44886,1.45621,1.44694,2011-07-04 08:00:00,162827
158,227111.0,1.4462,1.44885,1.4456,1.44979,1.43958,2011-07-05 08:00:00,227111
159,255819.0,1.4344,1.4456,1.43242,1.44654,1.4285,2011-07-06 08:00:00,255819
160,245529.0,1.4315,1.43242,1.43481,1.43731,1.42198,2011-07-07 08:00:00,245529
161,234450.0,1.4282,1.43482,1.42564,1.43613,1.42045,2011-07-08 08:00:00,234450
162,41109.0,1.4208,1.42034,1.41929,1.42265,1.41858,2011-07-10 08:00:00,41109
163,318132.0,1.4066,1.41931,1.39616,1.42052,1.3931,2011-07-11 08:00:00,318132
164,402501.0,1.396,1.39615,1.40074,1.40529,1.38363,2011-07-12 08:00:00,402501
165,328153.0,1.4114,1.40075,1.42084,1.42811,1.39822,2011-07-13 08:00:00,328153
166,332252.0,1.4187,1.42084,1.41707,1.42572,1.41143,2011-07-14 08:00:00,332252
167,221451.0,1.4136,1.41711,1.41576,1.4188,1.40909,2011-07-15 08:00:00,221451
168,44315.0,1.4085,1.41049,1.40693,1.41326,1.40504,2011-07-17 08:00:00,44315
169,255223.0,1.4065,1.40693,1.41181,1.41351,1.40129,2011-07-18 08:00:00,255223
170,258018.0,1.4157,1.41181,1.41526,1.42163,1.40674,2011-07-19 08:00:00,258018
171,236952.0,1.4205,1.41525,1.4253,1.42731,1.41321,2011-07-20 08:00:00,236952
172,296202.0,1.4298,1.4253,1.43867,1.44363,1.41378,2011-07-21 08:00:00,296202
173,199510.0,1.4383,1.43868,1.43633,1.44364,1.4323,2011-07-22 08:00:00,199510
174,31238.0,1.4381,1.43853,1.43785,1.44154,1.43563,2011-07-24 08:00:00,31238
175,224135.0,1.4375,1.43789,1.44772,1.44858,1.43239,2011-07-25 08:00:00,224135
176,214240.0,1.4491,1.44773,1.45056,1.4535,1.44552,2011-07-26 08:00:00,214240
177,238481.0,1.4425,1.45055,1.43599,1.45291,1.43288,2011-07-27 08:00:00,238481
178,261935.0,1.4316,1.43599,1.43389,1.43994,1.42524,2011-07-28 08:00:00,261935
179,237834.0,1.4319,1.43388,1.43712,1.4412,1.4228,2011-07-29 08:00:00,237834
180,39978.0,1.4375,1.43802,1.43848,1.43938,1.43446,2011-07-31 08:00:00,39978
181,275734.0,1.4326,1.43846,1.42479,1.44528,1.41833,2011-08-01 08:00:00,275734
182,320079.0,1.4203,1.42479,1.42001,1.4282,1.41499,2011-08-02 08:00:00,320079
183,357267.0,1.4289,1.41999,1.42952,1.43712,1.41411,2011-08-03 08:00:00,357267
184,381243.0,1.4185,1.42956,1.40923,1.43301,1.40545,2011-08-04 08:00:00,381243
185,360439.0,1.4175,1.40928,1.42809,1.42965,1.40717,2011-08-05 08:00:00,360439
186,68638.0,1.433,1.44182,1.43171,1.443,1.42871,2011-08-07 08:00:00,68638
187,437871.0,1.4238,1.43171,1.42228,1.44005,1.41283,2011-08-08 08:00:00,437871
188,452421.0,1.4259,1.42228,1.43483,1.43963,1.41824,2011-08-09 08:00:00,452421
189,304459.0,1.4257,1.43483,1.42154,1.44,1.41215,2011-08-10 08:00:00,304459
190,291778.0,1.4209,1.42154,1.41825,1.4293,1.4102,2011-08-11 08:00:00,291778
191,188275.0,1.4229,1.41825,1.42473,1.42902,1.41485,2011-08-12 08:00:00,188275
192,33165.0,1.4296,1.42659,1.42887,1.43166,1.4242,2011-08-14 08:00:00,33165
193,218545.0,1.4373,1.42889,1.44274,1.4476,1.42622,2011-08-15 08:00:00,218545
194,250960.0,1.4392,1.44275,1.43872,1.44708,1.4351,2011-08-16 08:00:00,250960
195,246159.0,1.4432,1.43872,1.44057,1.45162,1.43233,2011-08-17 08:00:00,246159
196,279190.0,1.4352,1.44056,1.43152,1.44508,1.42702,2011-08-18 08:00:00,279190
197,224083.0,1.4351,1.43152,1.43928,1.44513,1.42578,2011-08-19 08:00:00,224083
198,44316.0,1.4372,1.43808,1.43656,1.43911,1.43593,2011-08-21 08:00:00,44316
199,199995.0,1.4388,1.43656,1.43739,1.44333,1.4346,2011-08-22 08:00:00,199995
200,223788.0,1.4428,1.43736,1.4405,1.44989,1.43631,2011-08-23 08:00:00,223788
201,202953.0,1.4426,1.4405,1.44065,1.44803,1.43715,2011-08-24 08:00:00,202953
202,219814.0,1.4408,1.44064,1.44069,1.44736,1.43264,2011-08-25 08:00:00,219814
203,196918.0,1.4423,1.44068,1.44953,1.45005,1.43277,2011-08-26 08:00:00,196918
204,27800.0,1.4483,1.4497,1.44845,1.45023,1.44642,2011-08-28 08:00:00,27800
205,157411.0,1.4518,1.44845,1.45155,1.45481,1.44834,2011-08-29 08:00:00,157411
206,192901.0,1.444,1.45155,1.4435,1.45319,1.43834,2011-08-30 08:00:00,192901
207,195745.0,1.4412,1.44351,1.43653,1.44679,1.4353,2011-08-31 08:00:00,195745
208,221955.0,1.4286,1.43653,1.42585,1.43757,1.42253,2011-09-01 08:00:00,221955
209,200820.0,1.4231,1.42586,1.41926,1.42869,1.41827,2011-09-02 08:00:00,200820
210,36711.0,1.4156,1.41602,1.41669,1.41723,1.41351,2011-09-04 08:00:00,36711
211,199912.0,1.4111,1.41669,1.40778,1.41693,1.40576,2011-09-05 08:00:00,199912
212,338597.0,1.4082,1.40779,1.40496,1.42852,1.3971,2011-09-06 08:00:00,338597
213,253086.0,1.4063,1.40496,1.40533,1.41485,1.4011,2011-09-07 08:00:00,253086
214,272003.0,1.3986,1.40535,1.39242,1.40881,1.38715,2011-09-08 08:00:00,272003
215,274548.0,1.3775,1.39243,1.3662,1.39243,1.36259,2011-09-09 08:00:00,274548
216,55704.0,1.3593,1.35849,1.35819,1.36215,1.35512,2011-09-11 08:00:00,55704
217,352160.0,1.3613,1.35819,1.36853,1.36934,1.34935,2011-09-12 08:00:00,352160
218,364230.0,1.3661,1.36853,1.36335,1.37378,1.35565,2011-09-13 08:00:00,364230
219,346674.0,1.3691,1.36334,1.37232,1.37822,1.35901,2011-09-14 08:00:00,346674
220,309153.0,1.3822,1.37232,1.38613,1.39357,1.37054,2011-09-15 08:00:00,309153
221,230463.0,1.3802,1.38613,1.37835,1.38747,1.37526,2011-09-16 08:00:00,230463
222,53500.0,1.3678,1.36905,1.36658,1.37118,1.36463,2011-09-18 08:00:00,53500
223,296866.0,1.3646,1.36658,1.36074,1.37198,1.35851,2011-09-19 08:00:00,296866
224,316854.0,1.3679,1.36072,1.37165,1.37434,1.35972,2011-09-20 08:00:00,316854
225,363283.0,1.3661,1.37166,1.35422,1.37955,1.3531,2011-09-21 08:00:00,363283
226,414780.0,1.3483,1.35422,1.35304,1.35722,1.33835,2011-09-22 08:00:00,414780
227,315298.0,1.3495,1.35304,1.35039,1.35582,1.34173,2011-09-23 08:00:00,315298
228,69799.0,1.3458,1.35126,1.33979,1.3549,1.33898,2011-09-25 08:00:00,69799
229,383277.0,1.3466,1.33979,1.35281,1.35662,1.33613,2011-09-26 08:00:00,383277
230,349896.0,1.3573,1.35281,1.3559,1.3667,1.34802,2011-09-27 08:00:00,349896
231,341166.0,1.3599,1.35589,1.36103,1.3689,1.35186,2011-09-28 08:00:00,341166
232,344267.0,1.3613,1.36102,1.35244,1.36782,1.35212,2011-09-29 08:00:00,344267
233,261042.0,1.3478,1.35244,1.33929,1.35626,1.33927,2011-09-30 08:00:00,261042
234,40244.0,1.3348,1.33375,1.33243,1.33685,1.33175,2011-10-02 08:00:00,40244
235,326467.0,1.3283,1.33243,1.31966,1.33802,1.31625,2011-10-03 08:00:00,326467
236,349176.0,1.3236,1.31965,1.32871,1.33678,1.31443,2011-10-04 08:00:00,349176
237,319560.0,1.3324,1.32871,1.33285,1.3383,1.32759,2011-10-05 08:00:00,319560
238,323602.0,1.3361,1.33285,1.34353,1.34498,1.32405,2011-10-06 08:00:00,323602
239,240052.0,1.3449,1.34352,1.33913,1.35235,1.33601,2011-10-07 08:00:00,240052
240,35904.0,1.3427,1.33874,1.34569,1.34676,1.33766,2011-10-09 08:00:00,35904
241,244433.0,1.3596,1.34571,1.36247,1.36973,1.3453,2011-10-10 08:00:00,244433
242,286547.0,1.3623,1.36248,1.36129,1.36827,1.35643,2011-10-11 08:00:00,286547
243,289761.0,1.3763,1.3613,1.37933,1.38326,1.36092,2011-10-12 08:00:00,289761
244,297407.0,1.3747,1.37933,1.37591,1.38252,1.36843,2011-10-13 08:00:00,297407
245,205906.0,1.3821,1.3759,1.38824,1.38931,1.37431,2011-10-14 08:00:00,205906
246,27974.0,1.3859,1.38651,1.38423,1.38859,1.3826,2011-10-16 08:00:00,27974
247,241895.0,1.3795,1.38425,1.37817,1.39132,1.37232,2011-10-17 08:00:00,241895
248,294022.0,1.3718,1.37815,1.38014,1.38162,1.36516,2011-10-18 08:00:00,294022
249,278026.0,1.3797,1.38014,1.37249,1.38681,1.37057,2011-10-19 08:00:00,278026
250,314207.0,1.3746,1.37252,1.37738,1.38422,1.36552,2011-10-20 08:00:00,314207
251,212402.0,1.3813,1.37738,1.38901,1.39,1.37029,2011-10-21 08:00:00,212402
252,36534.0,1.3856,1.38389,1.38806,1.38809,1.38279,2011-10-23 08:00:00,36534
253,243502.0,1.3891,1.38804,1.39069,1.39555,1.38208,2011-10-24 08:00:00,243502
254,286176.0,1.3912,1.39069,1.39216,1.39594,1.38476,2011-10-25 08:00:00,286176
255,310635.0,1.3905,1.39217,1.39688,1.39932,1.37969,2011-10-26 08:00:00,310635
256,292519.0,1.4098,1.39687,1.41671,1.42464,1.39615,2011-10-27 08:00:00,292519
257,214474.0,1.4164,1.41671,1.41551,1.41969,1.41324,2011-10-28 08:00:00,214474
258,48970.0,1.4093,1.41355,1.40135,1.41714,1.40127,2011-10-30 08:00:00,48970
259,254103.0,1.3955,1.40135,1.38434,1.40526,1.38123,2011-10-31 08:00:00,254103
260,341888.0,1.3699,1.38434,1.37159,1.38435,1.36072,2011-11-01 08:00:00,341888
261,296959.0,1.3758,1.37159,1.37008,1.38278,1.36638,2011-11-02 08:00:00,296959
262,316057.0,1.3763,1.3701,1.3803,1.3854,1.36555,2011-11-03 08:00:00,316057
263,237791.0,1.3789,1.38031,1.37719,1.38675,1.37099,2011-11-04 08:00:00,237791
264,38697.0,1.3782,1.38267,1.37732,1.38298,1.3753,2011-11-06 08:00:00,38697
265,240439.0,1.375,1.37733,1.37472,1.38124,1.36803,2011-11-07 08:00:00,240439
266,245586.0,1.3794,1.37472,1.38247,1.38578,1.37233,2011-11-08 08:00:00,245586
267,319794.0,1.3632,1.38247,1.35367,1.38374,1.35133,2011-11-09 08:00:00,319794
268,303502.0,1.3586,1.35367,1.3623,1.3652,1.34824,2011-11-10 08:00:00,303502
269,195525.0,1.3679,1.3623,1.37543,1.37937,1.36011,2011-11-11 08:00:00,195525
270,30141.0,1.377,1.38083,1.37683,1.38083,1.37532,2011-11-13 08:00:00,30141
271,252960.0,1.3659,1.37683,1.35991,1.37731,1.35906,2011-11-14 08:00:00,252960
272,279427.0,1.3541,1.35991,1.34623,1.36183,1.34359,2011-11-15 08:00:00,279427
273,287480.0,1.349,1.34623,1.34871,1.35561,1.34202,2011-11-16 08:00:00,287480
274,308480.0,1.3483,1.34873,1.34773,1.35387,1.34355,2011-11-17 08:00:00,308480
275,225502.0,1.353,1.3477,1.3509,1.36131,1.34659,2011-11-18 08:00:00,225502
276,29875.0,1.3523,1.35079,1.35236,1.35377,1.3504,2011-11-20 08:00:00,29875
277,246788.0,1.3478,1.35236,1.34747,1.354,1.34289,2011-11-21 08:00:00,246788
278,249852.0,1.3515,1.34748,1.34625,1.35676,1.34508,2011-11-22 08:00:00,249852
279,253109.0,1.339,1.34625,1.33666,1.34795,1.33188,2011-11-23 08:00:00,253109
280,181733.0,1.3357,1.33668,1.33087,1.34103,1.33022,2011-11-24 08:00:00,181733
281,188250.0,1.3261,1.33087,1.32305,1.33214,1.32112,2011-11-25 08:00:00,188250
282,43010.0,1.3304,1.33187,1.3284,1.33337,1.32753,2011-11-27 08:00:00,43010
283,213626.0,1.3338,1.32842,1.33455,1.33982,1.32716,2011-11-28 08:00:00,213626
284,254371.0,1.3344,1.33455,1.33319,1.34409,1.32931,2011-11-29 08:00:00,254371
285,271317.0,1.3392,1.33317,1.34653,1.35322,1.32581,2011-11-30 08:00:00,271317
286,220938.0,1.3471,1.34653,1.34562,1.35202,1.34159,2011-12-01 08:00:00,220938
287,173864.0,1.3457,1.34562,1.34046,1.35485,1.33617,2011-12-02 08:00:00,173864
288,19278.0,1.3411,1.34214,1.34043,1.3424,1.33949,2011-12-04 08:00:00,19278
289,199376.0,1.343,1.34041,1.33714,1.34852,1.33602,2011-12-05 08:00:00,199376
290,181075.0,1.3386,1.33712,1.34193,1.3427,1.33321,2011-12-06 08:00:00,181075
291,175620.0,1.3398,1.34194,1.34043,1.34524,1.33498,2011-12-07 08:00:00,175620
